dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
14/12/2020,14,12,2020,528,1,Uruguay,UY,URY,3461731,America,115.3180302
13/12/2020,13,12,2020,331,1,Uruguay,UY,URY,3461731,America,105.98743808

